Caption,Description,Id,Session
Employees Retirement; 32 years service,HB 74,2345,2001_02
Revenue bonds; reports; Department of Community Affairs,HB 75,2346,2001_02
Employees Retirement; 31 years service,HB 76,2347,2001_02
Clinical laboratories; capillary blood tests; clarify exemption,HB 77,2348,2001_02
Driver's license; 17 years; exemption for driver's education,HB 78,2349,2001_02
Health insurance; breast cancer; coverage,HB 79,2350,2001_02
Employees Retirement; 30 years service,HB 80,2351,2001_02
Driver's licenses; certain out-of-state residents; renewal by mail,HB 81,2352,2001_02
Food sales or service; Halal food,HB 82,2353,2001_02
Georgia Qualified State Tuition Program; enact,HB 83,2354,2001_02
Uniform Fraudulent Transfers Act; enact,HB 84,2355,2001_02
Employees Retirement; 33 years service,HB 85,2356,2001_02
State departments; reports to standing committees of General Assembly,HB 86,2357,2001_02
Local governments; contracts with private non-profit organizations,HB 87,2358,2001_02
Groundwater use; prohibit injection of substances into aquifer,HB 88,2359,2001_02
Agriculture; pick-your-own products; limited liability,HB 89,2360,2001_02
Sales tax; exempt fuels; certain swine production,HB 90,2361,2001_02
State departments; performance audits and budget reports,HB 91,2362,2001_02
Driver's licenses; prohibit fingerprint requirement,HB 92,2363,2001_02
Supplemental appropriations; FY 2000-2001,HB 93,2370,2001_02
Supplemental appropriations; FY 2001-2002,HB 94,2371,2001_02
General appropriations; FY 2001-2002,HB 95,2372,2001_02
Physical therapy and physiotherapy; definitions,HB 96,2373,2001_02
"""Georgia's Pre-K Program""; rename pre-kindergarten program",HB 97,2374,2001_02
Failing to supervise a minor; define offense,HB 98,2375,2001_02
Supplemental appropriations; FY 2000-2001,HB 99,2376,2001_02
General appropriations; FY 2001-2002,HB 100,2377,2001_02
Supplemental appropriations; FY 2000-2001,HB 101,2378,2001_02
Contracts contrary to public policy; insurers and certain hospitals,HB 102,2379,2001_02
Juvenile courts; jurisdiction to appoint temporary guardians,HB 103,2380,2001_02
Income tax; change certain tax tables,HB 104,2381,2001_02
Electric membership corporations; director from each county served,HB 105,2382,2001_02
Elections; Code corrections,HB 106,2383,2001_02
OCGA; corrections,HB 107,2384,2001_02
Retirement and Pensions; Code corrections,HB 108,2385,2001_02
Torts; negligent polygraph exams; delete certain reference,HB 109,2386,2001_02
Elections Code; amend,HB 110,2388,2001_02
Elections; time for closing of polls; certain cities,HB 111,2389,2001_02
Elections; absentee voting; amend provisions,HB 112,2391,2001_02
Elections; recount or recanvass of votes; amend provisions,HB 113,2392,2001_02
Subsequent Injury Trust Fund; payment of assessments,HB 114,2393,2001_02
Municipalities; disposition of property; resource conservation and development councils,HB 115,2394,2001_02
State officers and employees; annual leave; use for other office,HB 116,2395,2001_02
Authentic historical Georgia license plates; definition,HB 117,2396,2001_02
Income tax; rehabilitation of historic structures; limitations,HB 118,2397,2001_02
Local hospital authorities; membership,HB 119,2398,2001_02
Child welfare agencies and child care facilities; inspection results,HB 120,2399,2001_02
Georgia Homeowner Protection Act; enact,HB 121,2400,2001_02
Employees' Retirement; military service credit,HB 122,2401,2001_02
Income tax; Earned Income Credit; repeal low-income tax credit,HB 123,2402,2001_02
Employees' Retirement; local school system service; certain credit,HB 124,2403,2001_02
Professional Standards Commission; renewable certificates; limitation,HB 125,2405,2001_02
"East Point, City of; redevelopment powers",HB 126,2412,2001_02
Juvenile courts; amend provisions,HB 127,2413,2001_02
Superior court clerks; additional duties; compensation,HB 128,2415,2001_02
State Forestry Commission; add members,HB 129,2417,2001_02
Heirs and interests; disinterment and DNA testing; court orders,HB 130,2422,2001_02
Sales tax; exempt certain sales by Salvation Army,HB 131,2424,2001_02
Sales tax; exempt certain fuel; tobacco production,HB 132,2426,2001_02
District attorneys emeritus; compensation,HB 133,2428,2001_02
Mobile home decal; failure to display; prosecution,HB 134,2430,2001_02
Sales tax; exempt certain sales; service provision to mentally retarded,HB 135,2432,2001_02
Regional educational service agencies; sales to private schools,HB 136,2434,2001_02
Open meetings; provisions; include certain county boards,HB 137,2435,2001_02
Drivers' licenses or identification cards; registration with U. S. Selective Service System,HB 138,2436,2001_02
Supplemental appropriations; FY 2000-2001,HB 139,2438,2001_02
Engineers and land surveyors; continuing education; certain exemption,HB 140,2442,2001_02
One-way roadways at certain intersections; marking provisions,HB 141,2443,2001_02
Tax commissioners and employees; certain counties; mandatory training,HB 142,2444,2001_02
Juvenile courts; parental payments; certain reimbursement,HB 143,2445,2001_02
Loaded firearms in private motor vehicles; authorize,HB 144,2452,2001_02
Sales tax; exempt sales of natural gas,HB 145,2453,2001_02
Commercial driver's license; age requirements,HB 146,2454,2001_02
Waters of state; discharge of pollutants; fines,HB 147,2455,2001_02
Watercraft; certain discharge in state waters; prohibit,HB 148,2456,2001_02
Storm-water runoff by county or municipality; monitor discharge,HB 149,2457,2001_02
Parking lot permitting; Board of Natural Resources regulate,HB 150,2458,2001_02
Motor vehicles on public roads; prohibit nitrous oxide,HB 151,2459,2001_02
Industrial loans; change fees and late fees; increase monthly charge,HB 152,2460,2001_02
Congressional and statutory boards; redistricting; change provisions,HB 153,2461,2001_02
Bingo; prizes; increase maximum amounts,HB 154,2466,2001_02
Bingo; certain nonprofit organizations; licensure qualifications,HB 155,2467,2001_02
Patient Right to Know Act of 2001; enact,HB 156,2468,2001_02
Uniform Child Custody Jurisdiction Enforcement Act; enact,HB 157,2469,2001_02
Hospital authorities; open records and meetings; exemption,HB 158,2486,2001_02
"Highways;  HOV lanes; minimum passengers
",HB 159,2495,2001_02
Speed limits; school zones; 25 miles per hour or lower,HB 160,2496,2001_02
Schools; persons other than students; report on entering,HB 161,2497,2001_02
Railroad crossings; obstructions or repairs; change provisions,HB 162,2498,2001_02
Driver's licenses; teen drivers; transporting certain persons; restrictions,HB 163,2499,2001_02
Teachers; sick leave; absence due to certain injury on duty,HB 164,2500,2001_02
Income tax; certain military service exemption,HB 165,2501,2001_02
Insurance; cancellation; provide loss history to insured,HB 166,2502,2001_02
Income tax; telecommuting credit,HB 167,2503,2001_02
Radio common carriers; Georgia Radio Utility Act,HB 168,2504,2001_02
Health insurance; timely payment; interest penalty,HB 169,2505,2001_02
"Georgia Farm Animal, Crop and Research Facilities Protection Act; renaming ",HB 170,2506,2001_02
Game and Fish Code; amend,HB 171,2521,2001_02
Game and fish; horseshoe crabs; regulations,HB 172,2523,2001_02
Game and fish; certain finfish; regulations,HB 173,2524,2001_02
Supplemental appropriations; FY 2000-2001,HB 174,2525,2001_02
General appropriations; FY 2001-2002,HB 175,2528,2001_02
Veterans; certain service; high school diploma; eligibility,HB 176,2537,2001_02
Elections; absentee voting; campaign activity restrictions,HB 177,2539,2001_02
Child abuse; investigations; change provisions ,HB 178,2541,2001_02
Income tax; retirement income; increase exclusion,HB 179,2543,2001_02
Rome Judicial Circuit; add judge,HB 180,2556,2001_02
Juvenile courts; standards for transferring delinquency cases,HB 181,2557,2001_02
Elections; procedure for certain unopposed primary candidates,HB 182,2558,2001_02
License plates; special tags; retired military persons,HB 183,2559,2001_02
Motorcycles; headgear violations; amend penalty provision ,HB 184,2560,2001_02
Sales tax; electricity for irrigation; exemption,HB 185,2561,2001_02
Income tax; health insurance premium; exemption ,HB 186,2562,2001_02
Motor vehicle insurance; uninsured motorist; minimum coverage,HB 187,2563,2001_02
Voter Choice and  Election Access Reform; enact,HB 188,2565,2001_02
Motor vehicles; traffic violations; prosecution,HB 189,2566,2001_02
Commission for the Celebration of 250 Years of Representative Government in Georgia; create,HB 190,2572,2001_02
Uniform Commercial Code; secured transactions; enact,HB 191,2573,2001_02
Motor vehicles; altered suspension; taillights,HB 192,2577,2001_02
Motor vehicle convictions; reports from court to Department of Public Safety; fees,HB 193,2578,2001_02
Off-road vehicles; use on public highways; prohibition; exception,HB 194,2579,2001_02
Optometrists; scope of practice,HB 195,2582,2001_02
State buildings; construction; minimize tree destruction,HB 196,2588,2001_02
"Coffee County; chief magistrate;
election",HB 197,2589,2001_02
"Coffee County; probate court judge;
election",HB 198,2590,2001_02
"Developmental Highway System; change description of roads; 
add Power Alley, U.S. 280 from Columbus to Savannah",HB 199,2591,2001_02
Georgia Public Telecommunications Commission; amend provisions,HB 200,2597,2001_02
Juvenile courts; delinquent child; alternative detention,HB 201,2599,2001_02
Public Safety Department and Georgia Bureau of Investigation; certain incentive pay; increase,HB 202,2601,2001_02
Public School Employees Retirement; increase benefit,HB 203,2603,2001_02
Speed limits; school zones; local authority,HB 204,2605,2001_02
"Bibb City, Town of; repeal charter",HB 205,2606,2001_02
Local water authorities; voluntary contribution program,HB 206,2607,2001_02
Checks; Deferred Presentment Act; enact,HB 207,2608,2001_02
Crimes and offenses; possession of certain firearms and body armor; penalties,HB 208,2609,2001_02
Teachers Retirement; early retirement; reduce penalty,HB 209,2610,2001_02
Teachers Retirement; return to service; elementary and secondary teachers,HB 210,2611,2001_02
Teachers Retirement; early retirement; eliminate penalty,HB 211,2612,2001_02
Municipalities; intergovernmental agreements; police services,HB 212,2613,2001_02
Ad valorem tax; homestead exemption; amount of state levy,HB 213,2614,2001_02
Ad valorem tax; certain inventory; exemption,HB 214,2615,2001_02
Income tax; gradual reduction,HB 215,2616,2001_02
Sales tax; vending machines; exempt food and beverages,HB 216,2617,2001_02
Teachers Retirement; return to service; certain teachers ,HB 217,2618,2001_02
Court proceedings; request certain elected judges to conduct,HB 218,2619,2001_02
Retirement Savings Protection Act; enact,HB 219,2620,2001_02
Financial institutions; lawyers' trust accounts ,HB 220,2621,2001_02
Court clerks; civil action claims; prohibit provision of certain forms,HB 221,2622,2001_02
License plates on government vehicles; change appearance,HB 222,2623,2001_02
Dental hygienists; dental screenings without supervision,HB 223,2628,2001_02
"Alcoholic beverages; redefine ""malt beverage""",HB 224,2660,2001_02
"Minority business enterprise; redefine ""minority""",HB 225,2661,2001_02
Athens-Clarke County; homestead exemption; certain residents,HB 226,2663,2001_02
Georgia Military Pension Fund; create,HB 227,2664,2001_02
Textbooks; require electronic format; visually impaired students,HB 228,2665,2001_02
Income tax credit; property donations; greenspace,HB 229,2666,2001_02
Burke County; board of education; vacancies,HB 230,2667,2001_02
Bibb County; board of education; tax levy,HB 231,2668,2001_02
Criminal procedure; serious violent felony; redefine,HB 232,2672,2001_02
Insurance premium finance companies; amend provisions,HB 233,2673,2001_02
Schools used as polling places; close on election day,HB 234,2674,2001_02
Georgia Agrirama Development Authority; transfer to Department of Natural Resources,HB 235,2675,2001_02
Income tax; Earned Income Credit; low-income tax credit,HB 236,2676,2001_02
Litter; redefine; include cigarette butts,HB 237,2677,2001_02
Income tax; certain military service exemption,HB 238,2678,2001_02
License plates on government vehicles; change appearance,HB 239,2680,2001_02
"Smyrna, City of; homestead exemption",HB 240,2704,2001_02
Georgia Volunteers in Dentistry Act; enact,HB 241,2705,2001_02
Adjutant general and assistant; amend provisions,HB 242,2706,2001_02
Property valuations; repeal certain prohibitions,HB 243,2707,2001_02
Woman's Right to Know Act; enact,HB 244,2708,2001_02
School principals; state supplement; periodic payments,HB 245,2709,2001_02
Mental health; emergency examinations; authorize certain counselors,HB 246,2710,2001_02
Outdoor advertising; certain signs; prohibit,HB 247,2711,2001_02
Seat belts; child restraint; medical condition,HB 248,2718,2001_02
Drivers' licenses; expiration; increase to 10 years,HB 249,2719,2001_02
License plates and fees; redesignate certain provisions in Title 48 to Title 40,HB 250,2720,2001_02
Taxation; levy excise tax on airport parking facilities,HB 251,2721,2001_02
Class Nine Fire Department Pension; increase benefits,HB 252,2722,2001_02
Motor vehicles; registration; amend provisions,HB 253,2723,2001_02
Judicial Retirement; state court judges; transfer funds from Employees' Retirement,HB 254,2724,2001_02
Firefighter's Pension Fund; increase benefit; certain members,HB 255,2725,2001_02
Malt beverages; amend provisions,HB 256,2726,2001_02
Income tax; retirement income; exempt certain persons,HB 257,2727,2001_02
Natural Gas Competition and Deregulation Act; amend,HB 258,2728,2001_02
License plates; special tags; Ducks Unlimited,HB 259,2729,2001_02
Electrical generating facilities; air quality permits; publication,HB 260,2730,2001_02
Income tax; credit for low-emission vehicles,HB 261,2731,2001_02
Ad valorem tax; mobile homes; amend provisions,HB 262,2732,2001_02
Nursing homes; employee criminal record checks; amend,HB 263,2735,2001_02
"Nursing homes, facilities; monetary penalties",HB 264,2736,2001_02
Labor and industrial relations; sexual harassment,HB 265,2737,2001_02
Hunting; primitive weapons hunts; firearm exception; certain persons,HB 266,2738,2001_02
Municipal corporations; distance requirements,HB 267,2740,2001_02
Hospitals; denial of staff privileges,HB 268,2745,2001_02
Juvenile courts; transfer of cases from superior courts,HB 269,2746,2001_02
Natural gas competition and deregulation; universal service funds,HB 270,2747,2001_02
Natural gas competition and deregulation; customer service offices,HB 271,2748,2001_02
Public Service Commission; natural gas marketers; pipeline fees,HB 272,2749,2001_02
Campaign contributions; natural gas marketers; prohibition,HB 273,2750,2001_02
Natural gas competition and deregulation; rate design; repeal requirement,HB 274,2751,2001_02
Natural gas competition and deregulation; rate-making methods,HB 275,2752,2001_02
State prison warden; motor vehicle; repeal certain provision,HB 276,2753,2001_02
Utility contractors; redefine plumbing,HB 277,2754,2001_02
Sales tax; certain fuel used in dairy production; exemption,HB 278,2755,2001_02
State government; development; save or replace trees,HB 279,2762,2001_02
Glynn County; state court solicitor and clerk; compensation,HB 280,2779,2001_02
Income tax credit; child care expenses,HB 281,2780,2001_02
Employees' Retirement; certain law enforcement officers; increase benefit,HB 282,2781,2001_02
Judicial Retirement; creditable service,HB 283,2782,2001_02
Eminent domain; electric power line; consent of local government,HB 284,2783,2001_02
Eye banks; operators; provisions,HB 285,2784,2001_02
"Utility contractors; redefine ""conditioned air equipment"" and ""plumbing""",HB 286,2785,2001_02
Funk Heritage Center; designate official state museum of southeastern Indian art and history,HB 287,2786,2001_02
Public retirement systems; certain investments; authorize,HB 288,2787,2001_02
"Disabled adults and elder persons; abuse, neglect, and exploitation; increased penalty",HB 289,2788,2001_02
Sales tax; exempt certain sales to churches,HB 290,2789,2001_02
"Safety belts; redefine ""passenger vehicle""",HB 291,2790,2001_02
Search warrants; application by video conference,HB 292,2791,2001_02
Pesticide and tobacco dealers; licenses; fees,HB 293,2792,2001_02
"Transportation, Department of; interstate rest areas; POW-MIA flag and plaque",HB 294,2793,2001_02
Probate court judge; vacancy; chief clerk assume duties,HB 295,2794,2001_02
Certain schools; on-site audits; exempt,HB 296,2795,2001_02
Architects; structures not requiring seal; amend provisions,HB 297,2835,2001_02
State auditor; compensation,HB 298,2862,2001_02
Ad valorem tax; homestead exemption; certain residents,HB 299,2864,2001_02
Marshlands; prohibit bridges and causeways; exception,HB 300,2867,2001_02
Hunting and fishing; regulation by Department of Natural Resources; prohibit local ordinances,HB 301,2871,2001_02
County officers; minimum salaries,HB 302,2858,2001_02
Boards and commissions; increase per diem allowance,HB 303,2859,2001_02
Firearms; eliminate victim disarmament zones,HB 304,2861,2001_02
Pickens County; board of elections and registration; create,HB 305,2863,2001_02
Pickens County; board of education; reconstitute,HB 306,2865,2001_02
Fannin County Building Authority; create,HB 307,2866,2001_02
Agricultural production contracts; regulate,HB 308,2869,2001_02
"Higgston, City of; new charter",HB 309,2849,2001_02
Clayton County; chief magistrate; nonpartisan,HB 310,2850,2001_02
Cobb County-Marietta Water Authority; membership,HB 311,2851,2001_02
Cobb Judicial Circuit; judges; supplement,HB 312,2852,2001_02
Drivers' licenses; minimum age for issuance,HB 313,2853,2001_02
State income tax; repeal and eliminate,HB 314,2854,2001_02
Driver education schools and courses; provisions,HB 315,2855,2001_02
Lumpkin County; board of commissioners; create,HB 316,2856,2001_02
Housing and finance authority; retailing and signage; authorized purposes,HB 317,2878,2001_02
Neighborhood Protection Act; enact,HB 318,2892,2001_02
Schools; courses; instruction in black history,HB 319,2894,2001_02
Zoning decisions; mediation; certain nonparty participation,HB 320,2895,2001_02
Hotels and motels; local tax; maximum time of imposition,HB 321,2896,2001_02
Cherokee County; water and sewerage authority; fines,HB 322,2897,2001_02
Board of Regents; contracts with hospitals; surgical procedures,HB 323,2898,2001_02
Racial Justice Act; enact,HB 324,2900,2001_02
Driving under the influence; fourth violation; felony,HB 325,2901,2001_02
Elections; publicly financed campaigns; voter information commission,HB 326,2902,2001_02
Used Appliance Warranty Rights Act; enact,HB 327,2903,2001_02
"Berkeley Lake, City of; mayor and council; terms",HB 328,2904,2001_02
Psychologists; authorization to prescribe drugs,HB 329,2905,2001_02
Family court division pilot project; extend to 7/1/04,HB 330,2906,2001_02
Homestead exemption; married person not living with spouse,HB 331,2907,2001_02
"Community service boards; powers, duties, and functions",HB 332,2908,2001_02
Attorneys; immigration and nationality law; prohibitions,HB 333,2909,2001_02
Georgia Regional Transportation Authority; long-range plans; provisions,HB 334,2910,2001_02
Uniform rules of the road; cell phone usage while operating vehicle; requirements,HB 335,2911,2001_02
Sales tax; exempt natural gas for residential use,HB 336,2918,2001_02
Tax sales; excess funds; payment,HB 337,2919,2001_02
Open records; exempt certain 911 communications,HB 338,2920,2001_02
Health records; copies requested by patient's authorized agent,HB 339,2921,2001_02
Witnesses; certain law enforcement officers; create privilege,HB 340,2922,2001_02
Police chiefs and department heads; state radar permit; certain training,HB 341,2924,2001_02
Unemployment compensation; eligibility; part-time work; undue family hardship,HB 342,2925,2001_02
Pimping or pandering involving child; define offenses; penalties,HB 343,2933,2001_02
Sales tax; exempt certain vending machine items,HB 344,2934,2001_02
Trucks on multilane highways; designated usage lanes,HB 345,2935,2001_02
Special license plates; armed forces; certain members,HB 346,2936,2001_02
Homestead exemption; certain assessed value difference,HB 347,2937,2001_02
Zoning decisions; actions challenging; standing to participate,HB 348,2938,2001_02
Natural gas company; retail customer; reconnected service fee,HB 349,2939,2001_02
Sales tax; exempt certain fuel; aquaculture business,HB 350,2940,2001_02
Surface water permits; certain excessive withdrawals,HB 351,2941,2001_02
"Insurance agents, agencies, subagents, counselors, adjusters; licensing",HB 352,2942,2001_02
Effingham County; state court; judge and solicitor,HB 353,2944,2001_02
Superior courts; certain fees; clerks' cooperative authority,HB 354,2945,2001_02
Registered Nurse First Assistant Consumer Act; enact,HB 355,2946,2001_02
Health care practitioners; credentialing data; centralized collection,HB 356,2948,2001_02
Magistrate courts; training requirements; certain magistrates,HB 357,2982,2001_02
Property insurance; certain fire policies; value of property,HB 358,2983,2001_02
Mortgage brokers and mortgage lenders; interest and fees; prohibition,HB 359,2984,2001_02
Safe Place for Newborns Act of 2001; enact,HB 360,2986,2001_02
Cotton Producers Indemnity Fund; payments,HB 361,2987,2001_02
"Decatur, City of; homestead exemption; certain residents",HB 362,2988,2001_02
"Decatur, City of; homestead exemption; certain residents",HB 363,2989,2001_02
Ad valorem tax; heavy-duty equipment motor vehicles; rentals,HB 364,2990,2001_02
County governing authorities; members; minimum annual salary,HB 365,2991,2001_02
Redevelopment; qualification; amend provisions,HB 366,2992,2001_02
"Public officers; local authorities; suspension for felony indictment
Corruption Prevention Act; enact",HB 367,2993,2001_02
Timber buyers; bond provisions,HB 368,2997,2001_02
New trials; extraordinary motions; paternity,HB 369,2998,2001_02
Bait shrimp dealer; salt-water access; provisions; exception,HB 370,2999,2001_02
Serious traffic offenses; increased penalties,HB 371,3000,2001_02
Schools; students 18 years old; registration to vote,HB 372,3001,2001_02
Bankruptcy and certain insolvent estates; exemptions,HB 373,3002,2001_02
Malt beverages; kegs sold at retail,HB 374,3003,2001_02
Georgia Environmental Training and Education Authority; create,HB 375,3004,2001_02
Sales tax; special county or joint municipal/county tax; amend,HB 376,3005,2001_02
Tires; adjustment rates; disclosure,HB 377,3006,2001_02
"Union Point, City of; mayor and council; vacancies",HB 378,3007,2001_02
Putnam County; probate court judge; nonpartisan,HB 379,3008,2001_02
Schools; loitering; disrupting school function,HB 380,2994,2001_02
Mental illness; emergency admission; provisions,HB 381,2995,2001_02
Juvenile courts; jurisdiction; 18 years of age,HB 382,3035,2001_02
Physician's assistants; allowable number,HB 383,3038,2001_02
Physician's assistants; professional samples; distribution,HB 384,3040,2001_02
Motor vehicles; DUI; teen restriction; aggressive driving; amend provisions,HB 385,3043,2001_02
Gas utility company; billing errors; automatic refund,HB 386,3051,2001_02
Employees' Retirement; disability benefits; earnings maximum,HB 387,3053,2001_02
Librarians; certification; continuing education,HB 388,3054,2001_02
GBI; narcotics agents; repeal certain retirement prohibition,HB 389,3055,2001_02
Sales tax; exempt sales by certain nonprofit humane societies for animals,HB 390,3056,2001_02
Education; curriculum; origins of life theories,HB 391,3058,2001_02
Education; honors program; include private school students,HB 392,3060,2001_02
Public records; disclosure; exempt certain ridesharing programs,HB 393,3062,2001_02
Torts; alienation of affections; define; damages,HB 394,3064,2001_02
Insurance premium finance companies; adverse underwriting decision,HB 395,3065,2001_02
Drivers' licenses; certain offenders; limited driving permits,HB 396,3067,2001_02
Individual development accounts; comprehensive regulation,HB 397,3057,2001_02
Sinclair Water Authority; create,HB 398,3059,2001_02
County governing authorities; compensation,HB 399,3061,2001_02
Local governments; motor vehicle decals; exemption from requirement,HB 400,3063,2001_02
Disabled persons; public buildings; restroom accessibility,HB 401,3066,2001_02
Taxation; repeal estate tax,HB 402,3068,2001_02
Insurance companies; income tax credit; college student employees,HB 403,3069,2001_02
Public Employees' Retirement 401(k) Plan; establish,HB 404,3070,2001_02
Coastal Marshlands Protection Act; coastal hammocks; permits,HB 405,3071,2001_02
Coastal Marshlands Protection Act; coastal hammocks; alterations,HB 406,3072,2001_02
Criminal trespass; certain sexual offenders; school safety zones,HB 407,3073,2001_02
Homestead exemption; certain assessed value difference,HB 408,3085,2001_02
Redevelopment; expand meaning; certain nonurban areas,HB 409,3086,2001_02
Sentences; judge's authority to modify; time,HB 410,3087,2001_02
Probation services; certain agreements; amend provisions,HB 411,3088,2001_02
Developmental highway system; change description,HB 412,3100,2001_02
Penal institutions; private detention facilities; prohibitions,HB 413,3108,2001_02
Floyd County; juvenile court judge; appointment,HB 414,3109,2001_02
"American Indian Tribes; add Southeastern Cherokee Council, Inc.",HB 415,3110,2001_02
Catoosa County; superior court clerk; clerical help allowance,HB 416,3111,2001_02
Higher Education Savings Plan; enact,HB 417,3112,2001_02
Ad valorem tax appeals; taxpayer representation,HB 418,3113,2001_02
Magistrates; minimum annual salary; effective date of census,HB 419,3114,2001_02
Erosion and sedimentation; streams and trout streams; buffer,HB 420,3115,2001_02
Drivers' licenses; mandatory suspensions; amend provisions,HB 421,3116,2001_02
Obstructing placement of emergency phone calls; define offense,HB 422,3117,2001_02
DUI; certain convictions; display sign on rear windshield,HB 423,3118,2001_02
Sales tax; exempt residential natural gas,HB 424,3119,2001_02
Sales tax; exempt residential natural gas and liquefied petroleum gas,HB 425,3121,2001_02
Back to School Tax Holiday Act; enact,HB 426,3122,2001_02
Parent College Education Savings Plan; enact,HB 427,3123,2001_02
Entry on property; utility meter reader; written notice,HB 428,3124,2001_02
Ad valorem tax; exempt passenger motor vehicles,HB 429,3125,2001_02
DUI; four or more violations within five years; felony,HB 430,3126,2001_02
Ad valorem tax assessments; appeals to superior court; amend provisions,HB 431,3127,2001_02
Prestige license plates; additional fees; exemption,HB 432,3133,2001_02
"Off-road vehicles; registration, titling, and operation; provisions",HB 433,3135,2001_02
Consumer Choice Negotiated Health Insurance Plan Act; enact,HB 434,3140,2001_02
