UUID,file_path
AR2003H1026,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1026/AR2003H1026_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1026.pdf
AR2003H1028,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1028/AR2003H1028_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1028.pdf
AR2003H1084,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1084/AR2003H1084_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1084.pdf
AR2003H1112,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1112/AR2003H1112_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1112.pdf
AR2003H1141,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1141/AR2003H1141_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1141.pdf
AR2003H1142,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1142/AR2003H1142_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1142.pdf
AR2003H1155,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1155/AR2003H1155_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1155.pdf
AR2003H1265,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1265/AR2003H1265_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1265.pdf
AR2003H1305,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1305/AR2003H1305_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1305.pdf
AR2003H1487,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1487/AR2003H1487_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1487.pdf
AR2003H1514,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1514/AR2003H1514_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1514.pdf
AR2003H1608,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H1608/AR2003H1608_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB1608.pdf
AR2003H2022,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H2022/AR2003H2022_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB2022.pdf
AR2003H2255,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H2255/AR2003H2255_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB2255.pdf
AR2003H2313,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H2313/AR2003H2313_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB2313.pdf
AR2003H2349,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H2349/AR2003H2349_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB2349.pdf
AR2003H2372,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H2372/AR2003H2372_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB2372.pdf
AR2003H2417,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H2417/AR2003H2417_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB2417.pdf
AR2003H2478,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H2478/AR2003H2478_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB2478.pdf
AR2003H2485,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H2485/AR2003H2485_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB2485.pdf
AR2003H2641,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H2641/AR2003H2641_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB2641.pdf
AR2003H2645,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H2645/AR2003H2645_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB2645.pdf
AR2003H2760,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003H2760/AR2003H2760_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHB2760.pdf
AR2003HJR1003,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003HJR1003/AR2003HJR1003_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHJR1003.pdf
AR2003HJR1004,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003HJR1004/AR2003HJR1004_FTPDocument?path=%2FBills%2F2003%2FPublic%2FHJR1004.pdf
AR2003S270,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003S270/AR2003S270_FTPDocument?path=%2FBills%2F2003%2FPublic%2FSB270.pdf
AR2003S271,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003S271/AR2003S271_FTPDocument?path=%2FBills%2F2003%2FPublic%2FSB271.pdf
AR2003S403,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003S403/AR2003S403_FTPDocument?path=%2FBills%2F2003%2FPublic%2FSB403.pdf
AR2003S690,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003S690/AR2003S690_FTPDocument?path=%2FBills%2F2003%2FPublic%2FSB690.pdf
AR2003S817,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2003S817/AR2003S817_FTPDocument?path=%2FBills%2F2003%2FPublic%2FSB817.pdf
AR2005H1006,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H1006/AR2005H1006_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB1006.pdf
AR2005H1360,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H1360/AR2005H1360_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB1360.pdf
AR2005H1417,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H1417/AR2005H1417_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB1417.pdf
AR2005H1423,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H1423/AR2005H1423_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB1423.pdf
AR2005H1613,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H1613/AR2005H1613_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB1613.pdf
AR2005H1667,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H1667/AR2005H1667_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB1667.pdf
AR2005H1770,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H1770/AR2005H1770_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB1770.pdf
AR2005H1842,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H1842/AR2005H1842_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB1842.pdf
AR2005H1905,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H1905/AR2005H1905_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB1905.pdf
AR2005H2047,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H2047/AR2005H2047_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB2047.pdf
AR2005H2049,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H2049/AR2005H2049_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB2049.pdf
AR2005H2513,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H2513/AR2005H2513_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB2513.pdf
AR2005H2643,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H2643/AR2005H2643_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB2643.pdf
AR2005H2748,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H2748/AR2005H2748_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB2748.pdf
AR2005H2800,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H2800/AR2005H2800_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB2800.pdf
AR2005H2814,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H2814/AR2005H2814_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB2814.pdf
AR2005H2879,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005H2879/AR2005H2879_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHB2879.pdf
AR2005HJR1022,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005HJR1022/AR2005HJR1022_FTPDocument?path=%2FBills%2F2005%2FPublic%2FHJR1022.pdf
AR2005S1112,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005S1112/AR2005S1112_FTPDocument?path=%2FBills%2F2005%2FPublic%2FSB1112.pdf
AR2005S1158,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005S1158/AR2005S1158_FTPDocument?path=%2FBills%2F2005%2FPublic%2FSB1158.pdf
AR2005S235,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005S235/AR2005S235_FTPDocument?path=%2FBills%2F2005%2FPublic%2FSB235.pdf
AR2005S256,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005S256/AR2005S256_FTPDocument?path=%2FBills%2F2005%2FPublic%2FSB256.pdf
AR2005S397,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005S397/AR2005S397_FTPDocument?path=%2FBills%2F2005%2FPublic%2FSB397.pdf
AR2005S93,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005S93/AR2005S93_FTPDocument?path=%2FBills%2F2005%2FPublic%2FSB93.pdf
AR2005S962,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2005S962/AR2005S962_FTPDocument?path=%2FBills%2F2005%2FPublic%2FSB962.pdf
AR2007H1380,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H1380/AR2007H1380_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB1380.pdf
AR2007H1467,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H1467/AR2007H1467_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB1467.pdf
AR2007H1509,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H1509/AR2007H1509_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB1509.pdf
AR2007H1532,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H1532/AR2007H1532_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB1532.pdf
AR2007H1570,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H1570/AR2007H1570_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB1570.pdf
AR2007H1703,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H1703/AR2007H1703_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB1703.pdf
AR2007H2120,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2120/AR2007H2120_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2120.pdf
AR2007H2214,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2214/AR2007H2214_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2214.pdf
AR2007H2312,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2312/AR2007H2312_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2312.pdf
AR2007H2321,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2321/AR2007H2321_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2321.pdf
AR2007H2353,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2353/AR2007H2353_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2353.pdf
AR2007H2360,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2360/AR2007H2360_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2360.pdf
AR2007H2367,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2367/AR2007H2367_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2367.pdf
AR2007H2371,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2371/AR2007H2371_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2371.pdf
AR2007H2497,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2497/AR2007H2497_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2497.pdf
AR2007H2624,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2624/AR2007H2624_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2624.pdf
AR2007H2625,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2625/AR2007H2625_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2625.pdf
AR2007H2631,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2631/AR2007H2631_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2631.pdf
AR2007H2763,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007H2763/AR2007H2763_FTPDocument?path=%2FBills%2F2007%2FPublic%2FHB2763.pdf
AR2007S230,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007S230/AR2007S230_FTPDocument?path=%2FBills%2F2007%2FPublic%2FSB230.pdf
AR2007S238,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007S238/AR2007S238_FTPDocument?path=%2FBills%2F2007%2FPublic%2FSB238.pdf
AR2007S286,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007S286/AR2007S286_FTPDocument?path=%2FBills%2F2007%2FPublic%2FSB286.pdf
AR2007S309,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007S309/AR2007S309_FTPDocument?path=%2FBills%2F2007%2FPublic%2FSB309.pdf
AR2007S855,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007S855/AR2007S855_FTPDocument?path=%2FBills%2F2007%2FPublic%2FSB855.pdf
AR2007S992,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007S992/AR2007S992_FTPDocument?path=%2FBills%2F2007%2FPublic%2FSB992.pdf
AR2007SB893,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2007SB893/AR2007SB893_FTPDocument?path=%2FBills%2F2007%2FPublic%2FSB893.pdf
AR2009H1016,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2009H1016/AR2009H1016_FTPDocument?path=%2FBills%2F2009%2FPublic%2FHB1016.pdf
AR2009H1021,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2009H1021/AR2009H1021_FTPDocument?path=%2FBills%2F2009%2FPublic%2FHB1021.pdf
AR2009H1047,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2009H1047/AR2009H1047_FTPDocument?path=%2FBills%2F2009%2FPublic%2FHB1047.pdf
AR2009H1240,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/arkansas/AR2009H1240/AR2009H1240_FTPDocument?path=%2FBills%2F2009%2FPublic%2FHB1240.pdf
